Ativo,cod_Ativo_guess,cod_Ativo_guess_norm,Fundo
LFSN2200G2K,LFSN2200G2K,LFSN2200G2K,HORIZONTE FIM
LFSN2200G2M,LFSN2200G2M,LFSN2200G2M,HORIZONTE FIM
LFSC24000BB,LFSC24000BB,LFSC24000BB,FIRF GERAES
LFSC24000BB,LFSC24000BB,LFSC24000BB,FIRF GERAES 30
LFSC24000BB,LFSC24000BB,LFSC24000BB,HORIZONTE FIM
LFSC22000ZR,LFSC22000ZR,LFSC22000ZR,FIRF GERAES
LFSC22000ZR,LFSC22000ZR,LFSC22000ZR,FIRF GERAES 30
LFSC22000ZR,LFSC22000ZR,LFSC22000ZR,HORIZONTE FIM
LFSC190054D,LFSC190054D,LFSC190054D,FIRF GERAES
LFSC19005FF,LFSC19005FF,LFSC19005FF,FIRF GERAES 30
LFSC19005L3,LFSC19005L3,LFSC19005L3,FIRF GERAES 30
LFSC190054I,LFSC190054I,LFSC190054I,FIRF GERAES 30
LFSC19005L1,LFSC19005L1,LFSC19005L1,HORIZONTE FIM
LFSC19005FF,LFSC19005FF,LFSC19005FF,HORIZONTE FIM
LFSC190054I,LFSC190054I,LFSC190054I,HORIZONTE FIM
LFSC190054C,LFSC190054C,LFSC190054C,HORIZONTE FIM
LFSC190059S,LFSC190059S,LFSC190059S,HORIZONTE FIM
LFSC190054D,LFSC190054D,LFSC190054D,HORIZONTE FIM
LFSC25004NG,LFSC25004NG,LFSC25004NG,FIRF GERAES
LFSC25004NF,LFSC25004NF,LFSC25004NF,FIRF GERAES 30
LFSC25004NH,LFSC25004NH,LFSC25004NH,HORIZONTE FIM
LFSC24001JQ,LFSC24001JQ,LFSC24001JQ,FIRF GERAES
LFSC24001JT,LFSC24001JT,LFSC24001JT,FIRF GERAES
LFSC24001P6,LFSC24001P6,LFSC24001P6,FIRF GERAES
LFSC24001JR,LFSC24001JR,LFSC24001JR,FIRF GERAES 30
LFSC24001JU,LFSC24001JU,LFSC24001JU,HORIZONTE FIM
LF002600JG5,LF002600JG5,LF002600JG5,FIRF GERAES
LF002305RFW,LF002305RFW,LF002305RFW,FIRF GERAES
LF002305RGQ,LF002305RGQ,LF002305RGQ,FIRF GERAES
LF002305RFO,LF002305RFO,LF002305RFO,FIRF GERAES
LF002305RGO,LF002305RGO,LF002305RGO,FIRF GERAES
LF002600JG5,LF002600JG5,LF002600JG5,FIRF GERAES 30
LF002600JG5,LF002600JG5,LF002600JG5,HORIZONTE FIM
LF002305RGL,LF002305RGL,LF002305RGL,HORIZONTE FIM
LF002400LQY,LF002400LQY,LF002400LQY,FIRF GERAES
LF002400LQY,LF002400LQY,LF002400LQY,FIRF GERAES 30
LF002600ENT,LF002600ENT,LF002600ENT,FIRF GERAES
LF002600ENT,LF002600ENT,LF002600ENT,FIRF GERAES 30
LF002600ENT,LF002600ENT,LF002600ENT,HORIZONTE FIM
LF002500F0B,LF002500F0B,LF002500F0B,FIRF GERAES
LF002500F0B,LF002500F0B,LF002500F0B,FIRF GERAES 30
LF002400RCR,LF002400RCR,LF002400RCR,FIRF GERAES
LF002400T3I,LF002400T3I,LF002400T3I,FIRF GERAES
LF002400RCR,LF002400RCR,LF002400RCR,FIRF GERAES 30
LF002400RCR,LF002400RCR,LF002400RCR,HORIZONTE FIM
LF002400G4O,LF002400G4O,LF002400G4O,FIRF GERAES
LF002400G4O,LF002400G4O,LF002400G4O,HORIZONTE FIM
LF002400Q0C,LF002400Q0C,LF002400Q0C,FIRF GERAES
LF002400Q0B,LF002400Q0B,LF002400Q0B,FIRF GERAES
LF002400Q0D,LF002400Q0D,LF002400Q0D,FIRF GERAES 30
LF002400KBW,LF002400KBW,LF002400KBW,FIRF GERAES
LF002400LGS,LF002400LGS,LF002400LGS,FIRF GERAES
LF002400KBU,LF002400KBU,LF002400KBU,FIRF GERAES
LF002400LGT,LF002400LGT,LF002400LGT,FIRF GERAES
LF002400LGM,LF002400LGM,LF002400LGM,FIRF GERAES
LF00260094N,LF00260094N,LF00260094N,FIRF GERAES
LF002400LGS,LF002400LGS,LF002400LGS,FIRF GERAES 30
LF002400KBY,LF002400KBY,LF002400KBY,FIRF GERAES 30
LF002400KBT,LF002400KBT,LF002400KBT,FIRF GERAES 30
LF0026004E5,LF0026004E5,LF0026004E5,FIRF GERAES
LF0026004E5,LF0026004E5,LF0026004E5,FIRF GERAES 30
LF0025004PY,LF0025004PY,LF0025004PY,FIRF GERAES
LF0025004PY,LF0025004PY,LF0025004PY,FIRF GERAES 30
LF0024006T3,LF0024006T3,LF0024006T3,FIRF GERAES
LF0024006T3,LF0024006T3,LF0024006T3,FIRF GERAES 30
LF002400GJ4,LF002400GJ4,LF002400GJ4,FIRF GERAES
LF0024008ZU,LF0024008ZU,LF0024008ZU,FIRF GERAES
LF002400GJ4,LF002400GJ4,LF002400GJ4,FIRF GERAES 30
LF002400GJ4,LF002400GJ4,LF002400GJ4,HORIZONTE FIM
LF0024008ZU,LF0024008ZU,LF0024008ZU,HORIZONTE FIM
LF002400UVP,LF002400UVP,LF002400UVP,FIRF GERAES
LF002400UVJ,LF002400UVJ,LF002400UVJ,FIRF GERAES 30
LF C6,,,FIRF GERAES
LF0025008NC,LF0025008NC,LF0025008NC,FIRF GERAES
LF0025008NC,LF0025008NC,LF0025008NC,FIRF GERAES 30
LF002500E1G,LF002500E1G,LF002500E1G,FIRF GERAES
LF002500PSL,LF002500PSL,LF002500PSL,FIRF GERAES
LF002500PSL,LF002500PSL,LF002500PSL,FIRF GERAES 30
LF002500E1G,LF002500E1G,LF002500E1G,FIRF GERAES 30
LF002500E1G,LF002500E1G,LF002500E1G,HORIZONTE FIM
LF002500PSL,LF002500PSL,LF002500PSL,HORIZONTE FIM
LF002308DWS,LF002308DWS,LF002308DWS,FIRF GERAES
LF002308DWS,LF002308DWS,LF002308DWS,FIRF GERAES 30
DI1JUL28,DI1JUL28,DI1JUL28,FIRF GERAES
DAPAGO26,DAPAGO26,DAPAGO26,FIRF GERAES
DAPMAI27,DAPMAI27,DAPMAI27,FIRF GERAES
DI1JUL27,DI1JUL27,DI1JUL27,FIRF GERAES
DI1JAN29,DI1JAN29,DI1JAN29,FIRF GERAES
DAPAGO28,DAPAGO28,DAPAGO28,FIRF GERAES
DI1JAN27,DI1JAN27,DI1JAN27,FIRF GERAES
DAPMAI29,DAPMAI29,DAPMAI29,FIRF GERAES
DAPAGO32,DAPAGO32,DAPAGO32,FIRF GERAES
DAPAGO30,DAPAGO30,DAPAGO30,FIRF GERAES
DAPAGO26,DAPAGO26,DAPAGO26,FIRF GERAES 30
DI1JAN28,DI1JAN28,DI1JAN28,FIRF GERAES 30
DAPMAI27,DAPMAI27,DAPMAI27,FIRF GERAES 30
DI1JUL28,DI1JUL28,DI1JUL28,FIRF GERAES 30
DI1JAN29,DI1JAN29,DI1JAN29,FIRF GERAES 30
DAPAGO28,DAPAGO28,DAPAGO28,FIRF GERAES 30
DAPMAI29,DAPMAI29,DAPMAI29,FIRF GERAES 30
DI1JAN27,DI1JAN27,DI1JAN27,FIRF GERAES 30
DAPAGO30,DAPAGO30,DAPAGO30,FIRF GERAES 30
DOLAGO26,DOLAGO26,DOLAGO26,HORIZONTE FIM
DDIJAN29,DDIJAN29,DDIJAN29,HORIZONTE FIM
DDIJAN31,DDIJAN31,DDIJAN31,HORIZONTE FIM
DI1JAN29,DI1JAN29,DI1JAN29,HORIZONTE FIM
DAPAGO26,DAPAGO26,DAPAGO26,HORIZONTE FIM
DI1JAN28,DI1JAN28,DI1JAN28,HORIZONTE FIM
DAPMAI27,DAPMAI27,DAPMAI27,HORIZONTE FIM
DI1JUL28,DI1JUL28,DI1JUL28,HORIZONTE FIM
DDIJAN27,DDIJAN27,DDIJAN27,HORIZONTE FIM
DAPAGO28,DAPAGO28,DAPAGO28,HORIZONTE FIM
DAPMAI29,DAPMAI29,DAPMAI29,HORIZONTE FIM
DAPAGO30,DAPAGO30,DAPAGO30,HORIZONTE FIM
T10SET26,T10SET26,T10SET26,HORIZONTE FIM
DI1JAN31,DI1JAN31,DI1JAN31,HORIZONTE FIM
DDIAGO26,DDIAGO26,DDIAGO26,HORIZONTE FIM
GERAES,GERAES,GERAES,FIRF GERAES 30
AF GLOBAL BONDS FI RF CP IE,,,FIRF GERAES 30
FIDC ER 2030,FIDCER2030,FIDCER2030,FIRF GERAES
FIDC ER 2030,FIDCER2030,FIDCER2030,FIRF GERAES 30
FIDC ER 2030,FIDCER2030,FIDCER2030,HORIZONTE FIM
FIDC Unique Sr 2,FIDCUNIQUESR2,FIDCUNIQUESR2,HORIZONTE FIM
FIDC Sifra Plus Sr,FIDCSIFRAPLUSSR,FIDCSIFRAPLUSSR,HORIZONTE FIM
ORIZ JURI LC II,ORIZJURILCII,ORIZJURILCII,HORIZONTE FIM
ORIZ JURI LC FIDC,ORIZJURILCFIDC,ORIZJURILCFIDC,HORIZONTE FIM
FIDC ICred Sr,FIDCICREDSR,FIDCICREDSR,FIRF GERAES
FIDC ICred Sr,FIDCICREDSR,FIDCICREDSR,FIRF GERAES 30
FIDC iCred Meza 2,FIDCICREDMEZA2,FIDCICREDMEZA2,HORIZONTE FIM
FIDC Guardian MC II Sr,FIDCGUARDIANMCIISR,FIDCGUARDIANMCIISR,FIRF GERAES
FIDC Guardian MC II Sr,FIDCGUARDIANMCIISR,FIDCGUARDIANMCIISR,FIRF GERAES 30
FIDC Guardian MC II Sr,FIDCGUARDIANMCIISR,FIDCGUARDIANMCIISR,HORIZONTE FIM
FIDC NOTO CONSIGNADOS SR1,,,FIRF GERAES
FIDC NOTO CONSIGNADOS SR1,,,FIRF GERAES 30
FIDC NOTO CONSIGNADOS SR1,,,HORIZONTE FIM
FIDC URA Agro SR,FIDCURAAGROSR,FIDCURAAGROSR,FIRF GERAES
FIDC URA Agro SR,FIDCURAAGROSR,FIDCURAAGROSR,FIRF GERAES 30
FIDC URA Agro SR,FIDCURAAGROSR,FIDCURAAGROSR,HORIZONTE FIM
FIDC Precavida,FIDCPRECAVIDA,FIDCPRECAVIDA,HORIZONTE FIM
FIDC PRATA DIGITAL IV SR,FIDCPRATADIGITALIVSR,FIDCPRATADIGITALIVSR,HORIZONTE FIM
FIDC PICPAY FGTS SR,FIDCPICPAYFGTSSR,FIDCPICPAYFGTSSR,FIRF GERAES
FIDC PICPAY FGTS SR,FIDCPICPAYFGTSSR,FIDCPICPAYFGTSSR,FIRF GERAES 30
FIDC PICPAY FGTS SR,FIDCPICPAYFGTSSR,FIDCPICPAYFGTSSR,HORIZONTE FIM
FIDC NXCO Sr 2,FIDCNXCOSR2,FIDCNXCOSR2,HORIZONTE FIM
FIDC LF I SR4,FIDCLFISR4,FIDCLFISR4,FIRF GERAES
FIDC LF I SR4,FIDCLFISR4,FIDCLFISR4,FIRF GERAES 30
FIDC LF I SR4,FIDCLFISR4,FIDCLFISR4,HORIZONTE FIM
FIDC Icred INSS,FIDCICREDINSS,FIDCICREDINSS,FIRF GERAES
FIDC Icred INSS,FIDCICREDINSS,FIDCICREDINSS,FIRF GERAES 30
PAKETA CONSIG PRIVADO  SR6,,,HORIZONTE FIM
FIDC BV Auto III,FIDCBVAUTOIII,FIDCBVAUTOIII,FIRF GERAES
FIDC BV Auto III,FIDCBVAUTOIII,FIDCBVAUTOIII,FIRF GERAES 30
FIDC BV Auto III,FIDCBVAUTOIII,FIDCBVAUTOIII,HORIZONTE FIM
FIDC BV Auto,FIDCBVAUTO,FIDCBVAUTO,FIRF GERAES
FIDC BV Auto,FIDCBVAUTO,FIDCBVAUTO,FIRF GERAES 30
FIDC BV Auto,FIDCBVAUTO,FIDCBVAUTO,HORIZONTE FIM
FIDC Automotivo,FIDCAUTOMOTIVO,FIDCAUTOMOTIVO,FIRF GERAES
FIDC Automotivo,FIDCAUTOMOTIVO,FIDCAUTOMOTIVO,FIRF GERAES 30
FIDC Automotivo,FIDCAUTOMOTIVO,FIDCAUTOMOTIVO,HORIZONTE FIM
FIDC Ideal Invest 29,FIDCIDEALINVEST29,FIDCIDEALINVEST29,FIRF GERAES 30
FIDC CloudWalk II,FIDCCLOUDWALKII,FIDCCLOUDWALKII,FIRF GERAES
FIDC CloudWalk II,FIDCCLOUDWALKII,FIDCCLOUDWALKII,FIRF GERAES 30
FIDC Artico Sr,FIDCARTICOSR,FIDCARTICOSR,FIRF GERAES 30
FIDC Artico Sr,FIDCARTICOSR,FIDCARTICOSR,HORIZONTE FIM
FIDC CONSIG PREMIUM I RL,FIDCCONSIGPREMIUMIRL,FIDCCONSIGPREMIUMIRL,FIRF GERAES
FIDC CONSIG PREMIUM I RL,FIDCCONSIGPREMIUMIRL,FIDCCONSIGPREMIUMIRL,FIRF GERAES 30
FIDC CONSIG PREMIUM I RL,FIDCCONSIGPREMIUMIRL,FIDCCONSIGPREMIUMIRL,HORIZONTE FIM
VBBR24,VBBR24,VBBR24,FIRF GERAES
VBBR24,VBBR24,VBBR24,FIRF GERAES 30
VBBR24,VBBR24,VBBR24,HORIZONTE FIM
VSCF17,VSCF17,VSCF17,FIRF GERAES
VSCF17,VSCF17,VSCF17,FIRF GERAES 30
VVRT11,VVRT11,VVRT11,FIRF GERAES
VVRT11,VVRT11,VVRT11,FIRF GERAES 30
VVRT11,VVRT11,VVRT11,HORIZONTE FIM
VAMO23,VAMO23,VAMO23,FIRF GERAES
VAMO13,VAMO13,VAMO13,FIRF GERAES
VAMO23,VAMO23,VAMO23,FIRF GERAES 30
VAMO13,VAMO13,VAMO13,FIRF GERAES 30
VAMO22,VAMO22,VAMO22,FIRF GERAES 30
VLIDA0,VLIDA0,VLIDA0,FIRF GERAES
VLIDA0,VLIDA0,VLIDA0,FIRF GERAES 30
VLIDA0,VLIDA0,VLIDA0,HORIZONTE FIM
CVRDA6,CVRDA6,CVRDA6,HORIZONTE FIM
VERT18 (nota reestruturada),,,FIRF GERAES
VERT19 (nota participativa),,,FIRF GERAES
VERT18 (nota reestruturada),,,FIRF GERAES 30
VERT19 (nota participativa),,,FIRF GERAES 30
TUPW11,TUPW11,TUPW11,HORIZONTE FIM
TBCR18,TBCR18,TBCR18,HORIZONTE FIM
TBSP22,TBSP22,TBSP22,FIRF GERAES
SIMH16,SIMH16,SIMH16,FIRF GERAES
JSMLA5,JSMLA5,JSMLA5,FIRF GERAES
SIMH16,SIMH16,SIMH16,FIRF GERAES 30
JSMLA5,JSMLA5,JSMLA5,FIRF GERAES 30
JSMLA5,JSMLA5,JSMLA5,HORIZONTE FIM
SIMH16,SIMH16,SIMH16,HORIZONTE FIM
ASAI22,ASAI22,ASAI22,FIRF GERAES
ASAIA0,ASAIA0,ASAIA0,FIRF GERAES
ASAIA0,ASAIA0,ASAIA0,FIRF GERAES 30
ASAI22,ASAI22,ASAI22,FIRF GERAES 30
ASAI22,ASAI22,ASAI22,HORIZONTE FIM
ASAIA0,ASAIA0,ASAIA0,HORIZONTE FIM
SBFC13,SBFC13,SBFC13,FIRF GERAES
SBFC13,SBFC13,SBFC13,FIRF GERAES 30
SBFC13,SBFC13,SBFC13,HORIZONTE FIM
RDORB9,RDORB9,RDORB9,FIRF GERAES
RDORB9,RDORB9,RDORB9,FIRF GERAES 30
RDORC9,RDORC9,RDORC9,FIRF GERAES 30
RDORB9,RDORB9,RDORB9,HORIZONTE FIM
RDORC9,RDORC9,RDORC9,HORIZONTE FIM
QUAL16,QUAL16,QUAL16,FIRF GERAES
QUAL16,QUAL16,QUAL16,FIRF GERAES 30
QUAL16,QUAL16,QUAL16,HORIZONTE FIM
PEJA21,PEJA21,PEJA21,FIRF GERAES
PEJA21,PEJA21,PEJA21,FIRF GERAES 30
PEJA21,PEJA21,PEJA21,HORIZONTE FIM
PSAN23,PSAN23,PSAN23,HORIZONTE FIM
ONCO19,ONCO19,ONCO19,FIRF GERAES
ONCO19,ONCO19,ONCO19,FIRF GERAES 30
NTSD17,NTSD17,NTSD17,FIRF GERAES
NTSD36,NTSD36,NTSD36,FIRF GERAES
NTSD17,NTSD17,NTSD17,FIRF GERAES 30
NTSD36,NTSD36,NTSD36,FIRF GERAES 30
NTSD35,NTSD35,NTSD35,HORIZONTE FIM
NTSD36,NTSD36,NTSD36,HORIZONTE FIM
MVLV19,MVLV19,MVLV19,FIRF GERAES
MVLV19,MVLV19,MVLV19,FIRF GERAES 30
MOVI34,MOVI34,MOVI34,HORIZONTE FIM
MNLT11,MNLT11,MNLT11,FIRF GERAES
MNLT11,MNLT11,MNLT11,FIRF GERAES 30
MNRVA1,MNRVA1,MNRVA1,FIRF GERAES
MNRVA1,MNRVA1,MNRVA1,FIRF GERAES 30
MNRVA1,MNRVA1,MNRVA1,HORIZONTE FIM
TFLED0,TFLED0,TFLED0,FIRF GERAES
TFLED0,TFLED0,TFLED0,FIRF GERAES 30
LIGH1B,LIGH1B,LIGH1B,FIRF GERAES
LIGHB6,LIGHB6,LIGHB6,FIRF GERAES
LIGT11,LIGT11,LIGT11,FIRF GERAES
LIGH2B,LIGH2B,LIGH2B,FIRF GERAES
LIGHC6,LIGHC6,LIGHC6,FIRF GERAES
LIGH1B,LIGH1B,LIGH1B,FIRF GERAES 30
LIGHB6,LIGHB6,LIGHB6,FIRF GERAES 30
LIGT11,LIGT11,LIGT11,FIRF GERAES 30
LIGH2B,LIGH2B,LIGH2B,FIRF GERAES 30
LIGHC6,LIGHC6,LIGHC6,FIRF GERAES 30
LIGH1B,LIGH1B,LIGH1B,HORIZONTE FIM
LIGT11,LIGT11,LIGT11,HORIZONTE FIM
LIGH2B,LIGH2B,LIGH2B,HORIZONTE FIM
KLBNA2,KLBNA2,KLBNA2,FIRF GERAES
KLBNA2,KLBNA2,KLBNA2,FIRF GERAES 30
KLBNA2,KLBNA2,KLBNA2,HORIZONTE FIM
JSLGA5,JSLGA5,JSLGA5,FIRF GERAES
JSLGA5,JSLGA5,JSLGA5,FIRF GERAES 30
HAPV19,HAPV19,HAPV19,FIRF GERAES
HAPV19,HAPV19,HAPV19,FIRF GERAES 30
HAPV19,HAPV19,HAPV19,HORIZONTE FIM
HAPV17,HAPV17,HAPV17,HORIZONTE FIM
CGBP14,CGBP14,CGBP14,FIRF GERAES
CGBP14,CGBP14,CGBP14,FIRF GERAES 30
AEGE17,AEGE17,AEGE17,FIRF GERAES 30
AEGE17,AEGE17,AEGE17,HORIZONTE FIM
CGOS18,CGOS18,CGOS18,FIRF GERAES
CGOS18,CGOS18,CGOS18,FIRF GERAES 30
CGOS18,CGOS18,CGOS18,HORIZONTE FIM
CTNSA2,CTNSA2,CTNSA2,HORIZONTE FIM
ENGIC4,ENGIC4,ENGIC4,FIRF GERAES
ENGIC4,ENGIC4,ENGIC4,FIRF GERAES 30
ERDVB3,ERDVB3,ERDVB3,FIRF GERAES
ERDVB3,ERDVB3,ERDVB3,FIRF GERAES 30
ERDVB3,ERDVB3,ERDVB3,HORIZONTE FIM
CSAN24,CSAN24,CSAN24,FIRF GERAES
CSANA0,CSANA0,CSANA0,FIRF GERAES
CSAN24,CSAN24,CSAN24,FIRF GERAES 30
CSANB0,CSANB0,CSANB0,FIRF GERAES 30
CSANA0,CSANA0,CSANA0,FIRF GERAES 30
CSAN23,CSAN23,CSAN23,HORIZONTE FIM
CSAN24,CSAN24,CSAN24,HORIZONTE FIM
PASS12,PASS12,PASS12,FIRF GERAES
PASS12,PASS12,PASS12,FIRF GERAES 30
PASS12,PASS12,PASS12,HORIZONTE FIM
CSNAA2,CSNAA2,CSNAA2,FIRF GERAES
CSNAA2,CSNAA2,CSNAA2,FIRF GERAES 30
CSNAA2,CSNAA2,CSNAA2,HORIZONTE FIM
CSNAA1,CSNAA1,CSNAA1,HORIZONTE FIM
VTII12,VTII12,VTII12,HORIZONTE FIM
CRCG12,CRCG12,CRCG12,FIRF GERAES
CRCG12,CRCG12,CRCG12,FIRF GERAES 30
CHSF12,CHSF12,CHSF12,FIRF GERAES
CHSF12,CHSF12,CHSF12,FIRF GERAES 30
MTRO12,MTRO12,MTRO12,HORIZONTE FIM
CAEC22,CAEC22,CAEC22,FIRF GERAES
CAEC22,CAEC22,CAEC22,FIRF GERAES 30
CAEC22,CAEC22,CAEC22,HORIZONTE FIM
CEDO13,CEDO13,CEDO13,HORIZONTE FIM
CSMGB9,CSMGB9,CSMGB9,FIRF GERAES
AALR13,AALR13,AALR13,FIRF GERAES
AALR13,AALR13,AALR13,FIRF GERAES 30
AALR13,AALR13,AALR13,HORIZONTE FIM
CLCD18,CLCD18,CLCD18,HORIZONTE FIM
BRKPA0,BRKPA0,BRKPA0,FIRF GERAES
BRKPA2,BRKPA2,BRKPA2,FIRF GERAES
BRKPA0,BRKPA0,BRKPA0,FIRF GERAES 30
BRKPA2,BRKPA2,BRKPA2,FIRF GERAES 30
BRKPA0,BRKPA0,BRKPA0,HORIZONTE FIM
BRKPA2,BRKPA2,BRKPA2,HORIZONTE FIM
BRKMA6,BRKMA6,BRKMA6,FIRF GERAES
BRKMA6,BRKMA6,BRKMA6,FIRF GERAES 30
BRKMB6,BRKMB6,BRKMB6,FIRF GERAES 30
BRKMA6,BRKMA6,BRKMA6,HORIZONTE FIM
BRKMB8,BRKMB8,BRKMB8,HORIZONTE FIM
BRKMB6,BRKMB6,BRKMB6,HORIZONTE FIM
AMERF2,AMERF2,AMERF2,FIRF GERAES
AMERF2,AMERF2,AMERF2,FIRF GERAES 30
AMERG2,AMERG2,AMERG2,HORIZONTE FIM
AMERF2,AMERF2,AMERF2,HORIZONTE FIM
AGSF13,AGSF13,AGSF13,HORIZONTE FIM
TIET19,TIET19,TIET19,HORIZONTE FIM
AERI12,AERI12,AERI12,FIRF GERAES
AERI12,AERI12,AERI12,FIRF GERAES 30
AEGP19,AEGP19,AEGP19,FIRF GERAES
AEGPB5,AEGPB5,AEGPB5,FIRF GERAES
AEGP19,AEGP19,AEGP19,FIRF GERAES 30
AEGPB5,AEGPB5,AEGPB5,FIRF GERAES 30
AEGP0B,AEGP0B,AEGP0B,HORIZONTE FIM
CRI VIC Engenharia,CRIVICENGENHARIA,CRIVICENGENHARIA,HORIZONTE FIM
CRA Ferroeste 2ª Série,CRAFERROESTE2ASERIE,CRAFERROESTE2ASERIE,FIRF GERAES
CRA Ferroeste 2ª Série,CRAFERROESTE2ASERIE,CRAFERROESTE2ASERIE,FIRF GERAES 30
CRA Ferroeste 2ª Série,CRAFERROESTE2ASERIE,CRAFERROESTE2ASERIE,HORIZONTE FIM
VAMOBZ00001,VAMOBZ00001,VAMOBZ00001,HORIZONTE FIM
CORURI27,CORURI27,CORURI27,HORIZONTE FIM
Unigel nota dinheiro novo,,,HORIZONTE FIM
Unigel nota reestruturada,,,HORIZONTE FIM
Unigel nota participativa,,,HORIZONTE FIM
PRIOBZ00001,PRIOBZ00001,PRIOBZ00001,HORIZONTE FIM
NATURA29,NATURA29,NATURA29,HORIZONTE FIM
STNE28,STNE28,STNE28,HORIZONTE FIM
CSANBZ PERP,CSANBZPERP,CSANBZPERP,HORIZONTE FIM
760199,760199,760199,ALFA HORIZON FIA
760199,760199,760199,FIA MINAS
100000,100000,100000,FIRF GERAES
100000,100000,100000,FIRF GERAES 30
760199,760199,760199,HORIZONTE FIM
760199,760199,760199,MINAS EDUCAÇÃO FIA
210100,210100,210100,MINAS O.N.E. FIA
950199,950199,950199,HORIZONTE FIM
CDB725A9XNR,CDB725A9XN,CDB725A9XN,FIRF GERAES
CDB725A9XNR,CDB725A9XN,CDB725A9XN,FIRF GERAES 30
CDB32695CN6,CDB32695CN6,CDB32695CN6,FIRF GERAES
CDB32695CN6,CDB32695CN6,CDB32695CN6,FIRF GERAES 30
CDB3239C4TL,CDB3239C4TL,CDB3239C4TL,FIRF GERAES
CDB3251WXH0,CDB3251WXH0,CDB3251WXH0,FIRF GERAES
CDB3251WXH0,CDB3251WXH0,CDB3251WXH0,FIRF GERAES 30
CAIXA,,,ALFA HORIZON FIA
